epoch,train_loss,train_acc,val_loss,val_acc
1,3.5395,0.0828,2.9820,0.1531
2,2.8336,0.2117,2.4371,0.3156
3,2.3937,0.3016,2.3963,0.3312
4,2.1414,0.3680,2.0760,0.4062
5,1.9241,0.4211,1.9004,0.4625
6,1.7226,0.4898,1.7204,0.4906
7,1.5904,0.5117,1.7537,0.5094
8,1.4237,0.5570,1.5172,0.5781
9,1.3529,0.5898,1.5575,0.5531
10,1.2163,0.6141,1.3750,0.6250
11,1.0978,0.6570,1.5074,0.5469
12,1.0917,0.6445,1.3828,0.5938
13,1.0112,0.6906,1.3638,0.6375
14,0.8308,0.7562,1.1916,0.6594
15,0.8037,0.7500,1.2240,0.6438
16,0.7571,0.7719,1.1115,0.6875
17,0.7554,0.7602,1.1794,0.6531
18,0.6428,0.8023,1.1127,0.6781
19,0.6094,0.8016,1.1056,0.6687
20,0.5717,0.8305,1.1333,0.6813
21,0.5366,0.8266,1.1931,0.6750
22,0.5702,0.8172,1.1127,0.7000
23,0.4813,0.8500,1.2739,0.6438
24,0.4563,0.8617,1.1346,0.7031
25,0.3956,0.8734,1.1251,0.6719
26,0.4171,0.8719,1.0053,0.7156
27,0.4319,0.8625,1.0777,0.7188
28,0.3474,0.8930,1.0748,0.7312
29,0.3767,0.8766,1.0205,0.7031
30,0.3313,0.8922,1.0714,0.7156
